reaction	reaction energy	raw id
[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12]>>[H:13].[N:1]([N:2][C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])([H:11])[H:12]	77.70694951	85
[O:1]=[C:2]([C@:3]([O:4][H:13])([C@:5]([O:6][H:15])([C@:7]([O:8][H:17])([C:9]([O:10][H:20])([H:18])[H:19])[H:16])[H:14])[H:12])[H:11]>>[H:15].[O:1]=[C:2]([C@:3]([O:4][H:13])([C@:5]([O:6])([C@:7]([O:8][H:17])([C:9]([O:10][H:20])([H:18])[H:19])[H:16])[H:14])[H:12])[H:11]	111.1632193	40
[O:1]=[C:2]([C:3]([C:4]([C:5]([C:6](=[O:7])[O:8][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9]>>[O:1]=[C:2]([C:3]([C:4]([C:5]([C:6]=[O:7])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9].[O:8][H:16]	111.4625411	51
[O:1]=[C:2]([C:3]([C:4]([C:5]([C:6](=[O:7])[O:8][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9]>>[C:3]([C:4]([C:5]([C:6](=[O:7])[O:8][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11].[O:1]=[C:2][H:9]	84.69928229	47
[C:1]([H:2])([H:3])([H:4])[H:5]>>[H:2].[C:1]([H:3])([H:4])[H:5]	103.8332867	25
[C:1]([C@:2]([O:3][H:11])([C:4](=[O:5])[O:6][H:12])[H:10])([H:7])([H:8])[H:9]>>[H:7].[C:1]([C@:2]([O:3][H:11])([C:4](=[O:5])[O:6][H:12])[H:10])([H:8])[H:9]	104.337804	27
[O:1]=[C:2]([C:3]([C:4]([C:5]([C:6](=[O:7])[O:8][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9]>>[C:4]([C:5]([C:6](=[O:7])[O:8][H:16])([H:14])[H:15])([H:12])[H:13].[O:1]=[C:2]([C:3]([H:10])[H:11])[H:9]	82.61595241	48
[O:1]=[C:2]([C:3]([C:4]([C:5]([C:6](=[O:7])[O:8][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9]>>[H:10].[O:1]=[C:2]([C:3]([C:4]([C:5]([C:6](=[O:7])[O:8][H:16])([H:14])[H:15])([H:12])[H:13])[H:11])[H:9]	92.29778877	53
[N:1]([C:2]([C:3]([c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([H:19])[c:9]1[H:20])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11]>>[C:2]([C:3]([c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([H:19])[c:9]1[H:20])([H:14])[H:15])([H:12])[H:13].[N:1]([H:10])[H:11]	87.00663289	112
[N:1]([c:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]1[O:8][H:15])([H:9])[H:10]>>[H:15].[N:1]([c:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]1[O:8])([H:9])[H:10]	76.56613814	75
[O:1]=[C:2]([C@:3]([O:4][H:13])([C@:5]([O:6][H:15])([C@:7]([O:8][H:17])([C:9]([O:10][H:20])([H:18])[H:19])[H:16])[H:14])[H:12])[H:11]>>[H:11].[O:1]=[C:2][C@:3]([O:4][H:13])([C@:5]([O:6][H:15])([C@:7]([O:8][H:17])([C:9]([O:10][H:20])([H:18])[H:19])[H:16])[H:14])[H:12]	92.46909873	38
[C:1]([C:2]([O:3][c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([O:9][H:19])[c:10]1[H:20])([H:14])[H:15])([H:11])([H:12])[H:13]>>[C:1]([C:2]([O:3])([H:14])[H:15])([H:11])([H:12])[H:13].[c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([O:9][H:19])[c:10]1[H:20]	102.3755833	12
[C:1]([C:2]([O:3][c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([O:9][H:19])[c:10]1[H:20])([H:14])[H:15])([H:11])([H:12])[H:13]>>[O:9][H:19].[C:1]([C:2]([O:3][c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8][c:10]1[H:20])([H:14])[H:15])([H:11])([H:12])[H:13]	112.9189895	13
[N:1]([c:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]1[O:8][H:15])([H:9])[H:10]>>[H:9].[N:1]([c:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]1[O:8][H:15])[H:10]	83.79190428	70
[C:1]([C:2]([O:3][c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([O:9][H:19])[c:10]1[H:20])([H:14])[H:15])([H:11])([H:12])[H:13]>>[H:17].[C:1]([C:2]([O:3][c:4]1[c:5]([H:16])[c:6][c:7]([H:18])[c:8]([O:9][H:19])[c:10]1[H:20])([H:14])[H:15])([H:11])([H:12])[H:13]	110.7980091	17
[N:1]([C:2]([C:3]([c:4]1[c:5]([H:15])[n:6][c:7]([H:16])[n:8]1[H:17])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10]>>[H:15].[N:1]([C:2]([C:3]([c:4]1[c:5][n:6][c:7]([H:16])[n:8]1[H:17])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10]	115.285326	102
[O:1]=[C:2]([C@:3]([O:4][H:13])([C@:5]([O:6][H:15])([C@:7]([O:8][H:17])([C:9]([O:10][H:20])([H:18])[H:19])[H:16])[H:14])[H:12])[H:11]>>[O:1]=[C:2]([C@:3]([O:4][H:13])([C@:5]([O:6][H:15])([C@:7]([O:8][H:17])([C:9]([H:18])[H:19])[H:16])[H:14])[H:12])[H:11].[O:10][H:20]	98.24845662	37
[C:1]([C:2]([O:3][c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([O:9][H:19])[c:10]1[H:20])([H:14])[H:15])([H:11])([H:12])[H:13]>>[H:11].[C:1]([C:2]([O:3][c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([O:9][H:19])[c:10]1[H:20])([H:14])[H:15])([H:12])[H:13]	101.5742543	14
[O:1]=[C:2]1[C:3]([H:11])=[C:4]([C:5]([O:6][H:14])([H:12])[H:13])[O:7][C:8]([H:15])=[C:9]1[O:10][H:16]>>[O:1]=[C:2]1[C:3]([H:11])=[C:4]([C:5]([O:6][H:14])([H:12])[H:13])[O:7][C:8]([H:15])=[C:9]1.[O:10][H:16]	119.537327	31
[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12]>>[C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15].[N:1]([N:2][H:13])([H:11])[H:12]	67.33924581	81
[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]([H:12])([H:13])[H:14])[O:5][H:15])([H:6])([H:7])[H:8]>>[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])[C:4]([H:12])([H:13])[H:14])([H:6])([H:7])[H:8].[O:5][H:15]	96.46382103	22
