reaction	reaction_type	label	raw_idx
[CH:15]([c:16]1[n:17][n:18]([C:19]([CH3:20])([CH3:21])[CH3:22])[c:23](-[c:24]2[cH:25][cH:26][c:27]([CH3:28])[cH:29][cH:30]2)[cH:31]1)=[O:36].[N+:1](=[O:2])([O-:3])[c:4]1[cH:5][cH:6][c:7]([N:8]2[CH2:9][CH2:10][N:11]([CH2:12][CH2:13][NH2:14])[CH2:32][CH2:33]2)[cH:34][cH:35]1>>[N+:1](=[O:2])([O-:3])[c:4]1[cH:5][cH:6][c:7]([N:8]2[CH2:9][CH2:10][N:11]([CH2:12][CH2:13][NH:14][CH2:15][c:16]3[n:17][n:18]([C:19]([CH3:20])([CH3:21])[CH3:22])[c:23](-[c:24]4[cH:25][cH:26][c:27]([CH3:28])[cH:29][cH:30]4)[cH:31]3)[CH2:32][CH2:33]2)[cH:34][cH:35]1.[OH2:36]	0	1.2.1	5152
[C:1]([CH3:2])([CH3:3])([CH3:4])[c:5]1[cH:6][c:7]([O:8][CH:9]2[CH2:10][CH2:11][NH:12][CH2:20][CH2:21]2)[c:22]([C:23](=[O:24])[NH:25][c:26]2[c:27]([NH:28][C:29]([c:30]3[cH:31][cH:32][c:33]([O:34][CH3:35])[cH:36][cH:37]3)=[O:38])[cH:39][n:40][cH:41][cH:42]2)[cH:43][cH:44]1.[CH:13]([c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)=[O:45]>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:5]1[cH:6][c:7]([O:8][CH:9]2[CH2:10][CH2:11][N:12]([CH2:13][c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[CH2:20][CH2:21]2)[c:22]([C:23](=[O:24])[NH:25][c:26]2[c:27]([NH:28][C:29]([c:30]3[cH:31][cH:32][c:33]([O:34][CH3:35])[cH:36][cH:37]3)=[O:38])[cH:39][n:40][cH:41][cH:42]2)[cH:43][cH:44]1.[OH2:45]	0	1.2.1	15970
[N:1]1([CH2:2][CH2:3][CH2:4][O:5][c:6]2[cH:7][cH:8][c:9]([CH:10]=[O:27])[cH:20][cH:21]2)[CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]1.[NH:11]1[CH2:12][CH2:13][N:14]([CH:15]([CH3:16])[CH3:17])[CH2:18][CH2:19]1>CC(=O)O.ClCCl.[OH-].[Na+].[Na+].CC(=O)O[BH-](OC(C)=O)OC(C)=O>[N:1]1([CH2:2][CH2:3][CH2:4][O:5][c:6]2[cH:7][cH:8][c:9]([CH2:10][N:11]3[CH2:12][CH2:13][N:14]([CH:15]([CH3:16])[CH3:17])[CH2:18][CH2:19]3)[cH:20][cH:21]2)[CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]1.[OH2:27]	0	1.2.1	14286
[NH:8]1[CH2:9][CH2:10][N:11]([c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[CH2:18][CH2:19]1.[c:1]1(-[n:2]2[n:3][c:4]([CH2:5][CH2:6][CH:7]=[O:32])[cH:20][c:21]2-[c:22]2[s:23][cH:24][cH:25][cH:26]2)[cH:27][cH:28][cH:29][cH:30][cH:31]1>CCN(C(C)C)C(C)C>[OH2:32].[c:1]1(-[n:2]2[n:3][c:4]([CH2:5][CH2:6][CH2:7][N:8]3[CH2:9][CH2:10][N:11]([c:12]4[cH:13][cH:14][cH:15][cH:16][cH:17]4)[CH2:18][CH2:19]3)[cH:20][c:21]2-[c:22]2[s:23][cH:24][cH:25][cH:26]2)[cH:27][cH:28][cH:29][cH:30][cH:31]1	0	1.2.1	22815
[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][cH:7][c:8]([NH:9][c:10]2[n:11][cH:12][n:13][c:14]([O:15][CH:16]3[CH2:17][CH2:18][NH:19][CH2:25][CH2:26]3)[c:27]2[N+:28](=[O:29])[O-:30])[cH:31][cH:32]1.[CH:20]([CH2:21][CH:22]([CH3:23])[CH3:24])=[O:33]>CO.[BH4-].[Na+]>[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][cH:7][c:8]([NH:9][c:10]2[n:11][cH:12][n:13][c:14]([O:15][CH:16]3[CH2:17][CH2:18][N:19]([CH2:20][CH2:21][CH:22]([CH3:23])[CH3:24])[CH2:25][CH2:26]3)[c:27]2[N+:28](=[O:29])[O-:30])[cH:31][cH:32]1.[OH2:33]	0	1.2.1	9822
[NH:14]1[CH2:15][CH2:16][N:17]([c:18]2[cH:19][cH:20][cH:21][c:22]3[cH:23][cH:24][cH:25][cH:26][c:27]23)[CH2:28][CH2:29]1.[O:1]=[c:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH2:10][CH2:11][CH2:12][CH:13]=[O:33])[n:30][c:31]2[nH:32]1>Cl.CCN(CC)CC>[O:1]=[c:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH2:10][CH2:11][CH2:12][CH2:13][N:14]3[CH2:15][CH2:16][N:17]([c:18]4[cH:19][cH:20][cH:21][c:22]5[cH:23][cH:24][cH:25][cH:26][c:27]45)[CH2:28][CH2:29]3)[n:30][c:31]2[nH:32]1.[OH2:33]	0	1.2.1	16439
[NH2:9][C@H:10]1[CH2:11][CH2:12][CH2:13][c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]21.[n:1]1[cH:2][c:3](-[c:4]2[cH:5][cH:6][c:7]([CH:8]=[O:25])[cH:20][cH:21]2)[cH:22][cH:23][cH:24]1>>[OH2:25].[n:1]1[cH:2][c:3](-[c:4]2[cH:5][cH:6][c:7]([CH2:8][NH:9][C@H:10]3[CH2:11][CH2:12][CH2:13][c:14]4[cH:15][cH:16][cH:17][cH:18][c:19]43)[cH:20][cH:21]2)[cH:22][cH:23][cH:24]1	0	1.2.1	13658
[CH3:1][c:2]1[nH:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]1[CH:11]=[O:14].[NH2:12][CH3:13]>CO.[BH4-].[Na+]>[CH3:1][c:2]1[nH:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]1[CH2:11][NH:12][CH3:13].[OH2:14]	0	1.2.1	7627
[C:1]([CH3:2])([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][c:9]1[cH:10][cH:11][c:12]2[n:13]([cH:14]1)[c:15]([C:16](=[O:17])[c:18]1[cH:19][cH:20][c:21]([N+:22](=[O:23])[O-:24])[c:25]([C:26](=[O:27])[O:28][CH3:29])[cH:30]1)[n:31][cH:32]2.[CH3:33][I:34]>CN(C)C=O.[H-].[Na+].[K+].O=S(=O)([O-])O>[C:1]([CH3:2])([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]([c:9]1[cH:10][cH:11][c:12]2[n:13]([cH:14]1)[c:15]([C:16](=[O:17])[c:18]1[cH:19][cH:20][c:21]([N+:22](=[O:23])[O-:24])[c:25]([C:26](=[O:27])[O:28][CH3:29])[cH:30]1)[n:31][cH:32]2)[CH3:33].[IH:34]	1	1.2.4	22969
[C:1](#[N:2])[N:3]=[C:4]([CH2:5][CH3:6])[NH:7][CH:8]([CH3:9])[c:10]1[c:11]([Cl:12])[cH:13][c:14]([Cl:15])[cH:16][cH:17]1.[CH3:18][I:19]>CN(C)C=O.[H-].[Na+]>[C:1](#[N:2])[N:3]=[C:4]([CH2:5][CH3:6])[N:7]([CH:8]([CH3:9])[c:10]1[c:11]([Cl:12])[cH:13][c:14]([Cl:15])[cH:16][cH:17]1)[CH3:18].[IH:19]	1	1.2.4	44893
