reaction	reaction_type	raw_id	original_reaction_type
[Br:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][OH:7])[n:12][cH:13]1.[S:8]([CH3:9])(=[O:10])(=[O:11])[Cl:14]>ClCCl.CCN(CC)CC.O=C([O-])O.[Na+]>[Br:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][O:7][S:8]([CH3:9])(=[O:10])=[O:11])[n:12][cH:13]1.[ClH:14]	0	241205	0
[OH:1][CH2:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([N:9]2[C:10](=[O:11])[CH2:12][CH:13]([CH2:14][O:15][c:16]3[cH:17][cH:18][c:19]([C:20](=[O:21])[O:22][CH3:23])[cH:24][cH:25]3)[CH2:26]2)[cH:27][cH:28]1.[S:29]([CH3:30])(=[O:31])(=[O:32])[Cl:33]>C(Cl)Cl.CCN(CC)CC>[ClH:33].[O:1]([CH2:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([N:9]2[C:10](=[O:11])[CH2:12][CH:13]([CH2:14][O:15][c:16]3[cH:17][cH:18][c:19]([C:20](=[O:21])[O:22][CH3:23])[cH:24][cH:25]3)[CH2:26]2)[cH:27][cH:28]1)[S:29]([CH3:30])(=[O:31])=[O:32]	0	36435	0
[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[N:8]([CH2:9][CH2:10][OH:11])[CH2:16][C@H:17]1[CH2:18][CH2:19][C:20](=[O:21])[NH:22]1.[S:12]([CH3:13])(=[O:14])(=[O:15])[Cl:23]>C(O)C.C(Cl)Cl>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[N:8]([CH2:9][CH2:10][O:11][S:12]([CH3:13])(=[O:14])=[O:15])[CH2:16][C@H:17]1[CH2:18][CH2:19][C:20](=[O:21])[NH:22]1.[ClH:23]	0	324487	0
[Cl:1][c:2]1[cH:3][c:4]([CH:5]([CH2:6][C:7](=[O:8])[N:9]([c:10]2[cH:11][cH:12][c:13]([O:14][CH3:15])[cH:16][cH:17]2)[CH3:18])[CH2:19][CH2:20][OH:21])[cH:26][cH:27][c:28]1[Cl:29].[S:22]([CH3:23])(=[O:24])(=[O:25])[Cl:30]>C(Cl)Cl.CCN(CC)CC>[Cl:1][c:2]1[cH:3][c:4]([CH:5]([CH2:6][C:7](=[O:8])[N:9]([c:10]2[cH:11][cH:12][c:13]([O:14][CH3:15])[cH:16][cH:17]2)[CH3:18])[CH2:19][CH2:20][O:21][S:22]([CH3:23])(=[O:24])=[O:25])[cH:26][cH:27][c:28]1[Cl:29].[ClH:30]	0	229382	0
[O:1]1[CH:2]([CH2:3][CH2:4]/[C:5](=[CH:6]/[CH:7]=[CH:8]/[CH2:9][CH2:10][CH2:11][OH:12])[CH3:17])[O:18][CH2:19][CH2:20]1.[S:13]([CH3:14])(=[O:15])(=[O:16])[Cl:21]>CCN(CC)CC>[ClH:21].[O:1]1[CH:2]([CH2:3][CH2:4]/[C:5](=[CH:6]/[CH:7]=[CH:8]/[CH2:9][CH2:10][CH2:11][O:12][S:13]([CH3:14])(=[O:15])=[O:16])[CH3:17])[O:18][CH2:19][CH2:20]1	0	224663	0
[CH3:1][S:2](=[O:3])(=[O:4])[Cl:16].[OH:5][CH2:6][CH2:7][NH:8][C:9]([O:10][C:11]([CH3:12])([CH3:13])[CH3:14])=[O:15]>ClCCl.C(OCC)(=O)C.CCN(CC)CC>[CH3:1][S:2](=[O:3])(=[O:4])[O:5][CH2:6][CH2:7][NH:8][C:9]([O:10][C:11]([CH3:12])([CH3:13])[CH3:14])=[O:15].[ClH:16]	0	7247	0
[CH:1]([CH3:2])([CH3:3])[O:4][c:5]1[cH:6][cH:7][c:8]([O:9][CH2:10][CH2:11][OH:12])[cH:17][cH:18]1.[S:13](=[O:14])(=[O:15])([CH3:16])[Cl:19]>C(Cl)Cl.CCN(CC)CC.O>[CH:1]([CH3:2])([CH3:3])[O:4][c:5]1[cH:6][cH:7][c:8]([O:9][CH2:10][CH2:11][O:12][S:13](=[O:14])(=[O:15])[CH3:16])[cH:17][cH:18]1.[ClH:19]	0	350372	0
[OH:1][CH2:2][C:3]12[CH2:4][C:5]3([NH:6][C:7]([O:8][C:9]([CH3:10])([CH3:11])[CH3:12])=[O:13])[CH2:14][CH:15]([CH2:16][CH:17]3[CH2:18]1)[CH2:19]2.[S:20]([CH3:21])(=[O:22])(=[O:23])[Cl:24]>C1COCC1.CN(C1C=CN=CC=1)C.O.CCN(CC)CC>[ClH:24].[O:1]([CH2:2][C:3]12[CH2:4][C:5]3([NH:6][C:7]([O:8][C:9]([CH3:10])([CH3:11])[CH3:12])=[O:13])[CH2:14][CH:15]([CH2:16][CH:17]3[CH2:18]1)[CH2:19]2)[S:20]([CH3:21])(=[O:22])=[O:23]	0	87868	0
[OH:1][c:2]1[n:3][c:4]2[cH:5][c:6]([O:7][CH3:8])[c:9]([O:10][CH3:11])[c:12]([N+:13](=[O:18])[O-:19])[c:14]2[c:15]([OH:16])[n:17]1>[Pd].C(O)(=O)C.CO.C(Cl)Cl.[OH-].[Na+]>[OH-:19].[OH2:18].[OH:1][c:2]1[n:3][c:4]2[cH:5][c:6]([O:7][CH3:8])[c:9]([O:10][CH3:11])[c:12]([NH2:13])[c:14]2[c:15]([OH:16])[n:17]1	1	17133	1
[Br:1][c:2]1[cH:3][c:4]([N+:5](=[O:19])[O-:20])[c:6]([N:7]2[CH2:8][CH2:9][N:10]([CH2:11][C:12](=[O:13])[NH2:14])[CH2:15][CH2:16]2)[cH:17][cH:18]1>C1COCC1.O.[Zn].[Cl-].[NH4+]>[Br:1][c:2]1[cH:3][c:4]([NH2:5])[c:6]([N:7]2[CH2:8][CH2:9][N:10]([CH2:11][C:12](=[O:13])[NH2:14])[CH2:15][CH2:16]2)[cH:17][cH:18]1.[OH-:20].[OH2:19]	1	204360	1
[NH:1]([C:2](=[O:3])[CH3:4])[c:5]1[c:6]([CH2:7][c:8]2[n:9][c:10]3[n:11]([CH2:12][CH2:13][c:14]4[cH:15][cH:16][c:17]([N+:18](=[O:35])[O-:36])[cH:19][cH:20]4)[c:21](=[O:22])[n:23]([CH2:24][CH2:25][CH3:26])[c:27](=[O:28])[c:29]3[nH:30]2)[cH:31][cH:32][cH:33][cH:34]1>[Pd].O.NN.[H][H]>[NH:1]([C:2](=[O:3])[CH3:4])[c:5]1[c:6]([CH2:7][c:8]2[n:9][c:10]3[n:11]([CH2:12][CH2:13][c:14]4[cH:15][cH:16][c:17]([NH2:18])[cH:19][cH:20]4)[c:21](=[O:22])[n:23]([CH2:24][CH2:25][CH3:26])[c:27](=[O:28])[c:29]3[nH:30]2)[cH:31][cH:32][cH:33][cH:34]1.[OH-:36].[OH2:35]	1	30540	1
[C:1](#[N:2])[c:3]1[cH:4][cH:5][c:6]([N:7]2[CH2:8][CH2:9][CH:10]([N:11]([CH3:12])[CH2:13][CH2:14][c:15]3[cH:16][cH:17][c:18]([N+:19](=[O:26])[O-:27])[cH:20][cH:21]3)[CH2:22][CH2:23]2)[cH:24][cH:25]1>O1CCCC1.Cl.Cl>[C:1](#[N:2])[c:3]1[cH:4][cH:5][c:6]([N:7]2[CH2:8][CH2:9][CH:10]([N:11]([CH3:12])[CH2:13][CH2:14][c:15]3[cH:16][cH:17][c:18]([NH2:19])[cH:20][cH:21]3)[CH2:22][CH2:23]2)[cH:24][cH:25]1.[OH-:27].[OH2:26]	1	165077	1
[NH2:1][c:2]1[c:3]([N+:4](=[O:26])[O-:27])[cH:5][c:6]([CH:7]2[CH2:8][CH2:9][N:10]([CH2:11][CH2:12][N:13]([C:14]([O:15][C:16]([CH3:17])([CH3:18])[CH3:19])=[O:20])[CH3:21])[CH2:22][CH2:23]2)[cH:24][cH:25]1>[Pd].CO>[NH2:1][c:2]1[c:3]([NH2:4])[cH:5][c:6]([CH:7]2[CH2:8][CH2:9][N:10]([CH2:11][CH2:12][N:13]([C:14]([O:15][C:16]([CH3:17])([CH3:18])[CH3:19])=[O:20])[CH3:21])[CH2:22][CH2:23]2)[cH:24][cH:25]1.[OH-:27].[OH2:26]	1	58620	1
[CH3:1][O:2][c:3]1[c:4]([NH:5][C:6]([O:7][CH2:8][CH3:9])=[O:10])[c:11]([N+:12](=[O:16])[O-:17])[cH:13][cH:14][cH:15]1>CO.Cl[Sn]Cl>[CH3:1][O:2][c:3]1[c:4]([NH:5][C:6]([O:7][CH2:8][CH3:9])=[O:10])[c:11]([NH2:12])[cH:13][cH:14][cH:15]1.[OH-:17].[OH2:16]	1	188288	1
[N+:1]([c:2]1[cH:3][c:4]2[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH3:11])[nH:12][c:13]2[cH:14][cH:15]1)(=[O:16])[O-:17]>C(O)C.[Pd]>[NH2:1][c:2]1[cH:3][c:4]2[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH3:11])[nH:12][c:13]2[cH:14][cH:15]1.[OH-:17].[OH2:16]	1	339679	1
[Br:1][c:2]1[cH:3][c:4]([N+:5](=[O:10])[O-:11])[c:6]([OH:7])[cH:8][cH:9]1>O.[OH-].[K+].O=S([O-])S(=O)[O-].[Na+].[Na+].CCOC(C)=O>[Br:1][c:2]1[cH:3][c:4]([NH2:5])[c:6]([OH:7])[cH:8][cH:9]1.[OH-:11].[OH2:10]	1	240250	1
[C:2]([c:3]1[c:4]([Cl:5])[cH:6][c:7](-[n:8]2[n:9][cH:10][cH:11][cH:12]2)[cH:13][cH:14]1)(=[O:15])[OH:19].[Cl:1][S:17](=[O:16])[Cl:18]>ClCCl.CN(C)C=O>[Cl:1][C:2]([c:3]1[c:4]([Cl:5])[cH:6][c:7](-[n:8]2[n:9][cH:10][cH:11][cH:12]2)[cH:13][cH:14]1)=[O:15].[O:16]=[SH:17][Cl:18].[OH2:19]	2	470	3
[C:1]([CH3:2])(=[O:3])[O:4][c:5]1[cH:6][c:7]([C:8](=[O:9])[OH:22])[cH:11][c:12]([O:13][C:14]([CH3:15])=[O:16])[c:17]1[O:18][C:19]([CH3:20])=[O:21].[Cl:10][S:24](=[O:23])[Cl:25]>ClCCCl>[C:1]([CH3:2])(=[O:3])[O:4][c:5]1[cH:6][c:7]([C:8](=[O:9])[Cl:10])[cH:11][c:12]([O:13][C:14]([CH3:15])=[O:16])[c:17]1[O:18][C:19]([CH3:20])=[O:21].[O:23]=[SH:24][Cl:25].[OH2:22]	2	211964	3
[Cl:1][c:2]1[c:3]([C:4](=[O:5])[OH:12])[c:7]([CH3:8])[cH:9][cH:10][cH:11]1.[Cl:6][S:14](=[O:13])[Cl:15]>CN(C=O)C.C(Cl)Cl>[Cl:1][c:2]1[c:3]([C:4](=[O:5])[Cl:6])[c:7]([CH3:8])[cH:9][cH:10][cH:11]1.[O:13]=[SH:14][Cl:15].[OH2:12]	2	41863	3
[C:2]([c:3]1[cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9][cH:10]1)([OH:11])=[O:15].[Cl:1][S:13](=[O:12])[Cl:14]>>[Cl:1][C:2]([c:3]1[cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9][cH:10]1)=[O:11].[O:12]=[SH:13][Cl:14].[OH2:15]	2	126733	3
[Cl:14][S:21](=[O:20])[Cl:22].[O:1]1[CH2:2][CH2:3][N:4]([CH2:5][CH2:6][O:7][c:8]2[cH:9][cH:10][c:11]([C:12](=[O:13])[OH:19])[cH:15][cH:16]2)[CH2:17][CH2:18]1>>[O:1]1[CH2:2][CH2:3][N:4]([CH2:5][CH2:6][O:7][c:8]2[cH:9][cH:10][c:11]([C:12](=[O:13])[Cl:14])[cH:15][cH:16]2)[CH2:17][CH2:18]1.[O:20]=[SH:21][Cl:22].[OH2:19]	2	345147	3
[Cl:14][S:19](=[O:18])[Cl:20].[Cl:1][CH2:2][CH2:3][CH2:4][O:5][c:6]1[c:7]([O:8][CH3:9])[cH:10][c:11]([C:12](=[O:13])[OH:17])[cH:15][cH:16]1>ClCCl>[Cl:1][CH2:2][CH2:3][CH2:4][O:5][c:6]1[c:7]([O:8][CH3:9])[cH:10][c:11]([C:12](=[O:13])[Cl:14])[cH:15][cH:16]1.[O:18]=[SH:19][Cl:20].[OH2:17]	2	68539	3
[Cl:6][S:14](=[O:13])[Cl:15].[F:1][c:2]1[c:3]([C:4](=[O:5])[OH:12])[cH:7][cH:8][cH:9][c:10]1[F:11]>C1(C)C=CC=CC=1>[F:1][c:2]1[c:3]([C:4](=[O:5])[Cl:6])[cH:7][cH:8][cH:9][c:10]1[F:11].[O:13]=[SH:14][Cl:15].[OH2:12]	2	335203	3
